analysis_type,scope,model,dropped_component,aggregation_level,n,estimate,ci_low,ci_high,p_value,delta_rho,n_boot,source_file
leave_one_trait_out,species_pair_different_species,ResNet,expected_directional_change_tendency,NA,72,-0.055003,NA,NA,0.6463070230417611,0.034868,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,expected_head_neck_contribution_to_acceleration_relevant_motion,NA,72,-0.021554,NA,NA,0.8573801593131936,0.068317,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,expected_trunk_motion_amplitude,NA,72,-0.037698,NA,NA,0.7532222384258971,0.052173,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,log_body_mass_g,NA,72,-0.051619,NA,NA,0.6667401153017387,0.038252,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,ResNet,none (full model),NA,72,-0.089871,NA,NA,0.45279969619409266,NA,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,body_configuration_type,NA,72,-0.060472,NA,NA,0.6138398053269727,0.056226,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,dominant_feeding_foraging_mode,NA,72,-0.145518,NA,NA,0.22259642738455912,-0.02882,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,dominant_locomotor_mode,NA,72,-0.219435,NA,NA,0.06402309648697345,-0.102737,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,expected_directional_change_tendency,NA,72,-0.059249,NA,NA,0.6210360833886515,0.057448,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,expected_head_neck_contribution_to_acceleration_relevant_motion,NA,72,-0.116744,NA,NA,0.32875889670643266,-4.7e-5,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,expected_trunk_motion_amplitude,NA,72,-0.091737,NA,NA,0.4434348216220765,0.024961,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,log_body_mass_g,NA,72,-0.091526,NA,NA,0.4444856441128795,0.025171,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,HYDRA,none (full model),NA,72,-0.116697,NA,NA,0.3289557997342587,NA,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,body_configuration_type,NA,72,-0.230114,NA,NA,0.05182461061312387,0.059571,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,dominant_feeding_foraging_mode,NA,72,-0.315546,NA,NA,0.00693419872415711,-0.025861,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,dominant_locomotor_mode,NA,72,-0.376468,NA,NA,0.00111676880058861,-0.086783,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,expected_directional_change_tendency,NA,72,-0.210428,NA,NA,0.07602742698940995,0.079256,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,expected_head_neck_contribution_to_acceleration_relevant_motion,NA,72,-0.221683,NA,NA,0.06127914991292792,0.068002,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,expected_trunk_motion_amplitude,NA,72,-0.232687,NA,NA,0.04918932588385552,0.056998,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,log_body_mass_g,NA,72,-0.290087,NA,NA,0.01344375325282855,-4.03e-4,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,MultiRocket,none (full model),NA,72,-0.289684,NA,NA,0.0135792074394742,NA,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,RF,body_configuration_type,NA,72,-0.271736,NA,NA,0.02094164786650382,0.050436,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,RF,dominant_feeding_foraging_mode,NA,72,-0.340506,NA,NA,0.00342551424385965,-0.018334,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,RF,dominant_locomotor_mode,NA,72,-0.385345,NA,NA,8.298923630629212e-4,-0.063173000000000007,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,RF,expected_directional_change_tendency,NA,72,-0.269742,NA,NA,0.02193862309926866,0.05243,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,RF,expected_head_neck_contribution_to_acceleration_relevant_motion,NA,72,-0.242368,NA,NA,0.04024179163157415,0.079804,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,RF,expected_trunk_motion_amplitude,NA,72,-0.258934,NA,NA,0.0280719242028897,0.063238,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,RF,log_body_mass_g,NA,72,-0.333887,NA,NA,0.00415312468893142,-0.011716,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,RF,none (full model),NA,72,-0.322172,NA,NA,0.00578235610613675,NA,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,LGBM,body_configuration_type,NA,72,-0.330599,NA,NA,0.00456318665642921,0.035897,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,LGBM,dominant_feeding_foraging_mode,NA,72,-0.38155,NA,NA,9.431693889823872e-4,-0.015054,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,LGBM,dominant_locomotor_mode,NA,72,-0.392936,NA,NA,6.395596218886488e-4,-0.02644,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,LGBM,expected_directional_change_tendency,NA,72,-0.330857,NA,NA,0.00452984791866102,0.03564,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,LGBM,expected_head_neck_contribution_to_acceleration_relevant_motion,NA,72,-0.289947,NA,NA,0.01349077957037194,0.076549,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,LGBM,expected_trunk_motion_amplitude,NA,72,-0.304223,NA,NA,0.009373043407972,0.062273,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,LGBM,log_body_mass_g,NA,72,-0.373664,NA,NA,0.00122442958564786,-0.007168,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_trait_out,species_pair_different_species,LGBM,none (full model),NA,72,-0.366496,NA,NA,0.00154365972848189,NA,NA,Output_R/H3_sensitivity/csv/01_loto_results.csv
leave_one_species_out,species_pair_different_species,overall,Bison bonasus,NA,336,-0.222887,NA,NA,3.750599300351292e-5,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,overall,Bos taurus,NA,336,-0.26126,NA,NA,1.1994678010588977e-6,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,overall,Canis lupus familiaris,NA,336,-0.167929,NA,NA,0.00201052347881474,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,overall,Equus caballus,NA,336,-0.251274,NA,NA,3.104268862178577e-6,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,overall,Equus ferus przewalskii,NA,336,-0.124936,NA,NA,0.02198873826672312,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,overall,Erinaceus europaeus,NA,336,-0.094502,NA,NA,0.08369093519880758,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,overall,Giraffa camelopardalis,NA,336,-0.204156,NA,NA,1.6452557622442134e-4,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,overall,Procyon lotor,NA,336,-0.259775,NA,NA,1.3851417053874e-6,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,overall,Vulpes vulpes,NA,336,-0.178352,NA,NA,0.00102553458928307,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,overall,none (full),NA,432,-0.198219,NA,NA,3.336335830765092e-5,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,CNN,Bison bonasus,NA,56,-0.175887,NA,NA,0.19474501729366567,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,CNN,Bos taurus,NA,56,-0.212542,NA,NA,0.1157945956390838,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,CNN,Canis lupus familiaris,NA,56,-0.181768,NA,NA,0.1800012059233271,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,CNN,Equus caballus,NA,56,-0.286672,NA,NA,0.03218934885212154,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,CNN,Equus ferus przewalskii,NA,56,-0.099843,NA,NA,0.46408599910614046,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,CNN,Erinaceus europaeus,NA,56,-0.059495,NA,NA,0.6631511284712908,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,CNN,Giraffa camelopardalis,NA,56,-0.180264,NA,NA,0.18369373915209317,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,CNN,Procyon lotor,NA,56,-0.241674,NA,NA,0.07274357752090453,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,CNN,Vulpes vulpes,NA,56,-0.162621,NA,NA,0.2311179261824531,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,CNN,none (full),NA,72,-0.175046,NA,NA,0.14137239155514608,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
leave_one_species_out,species_pair_different_species,ResNet,Bison bonasus,NA,56,-0.141695,NA,NA,0.2975521366143638,NA,NA,Output_R/H3_sensitivity/csv/03_loso_results.csv
